Korean,English
필요한,necessary
없다,does not exist
후,after
가고,good night
글쎄,well
않는,doesn't
했죠,I did it
나의,my
별로,not really
않은,not
라고,says
집,house
여전히,still
없을,There won't be
딱,Just
있어서,Because
이야기,story
엄마는,Mom is
부인,ma'am
하는데,I'm doing it
않고,Without
알았지,Okay
아니고,No
여자가,the woman
문,door
되지,No
거기서,thereupon
훨씬,by far
아버지가,my father
망할,damn
뭔지,What is it
손,hand
수술,surgery
듣고,listen
어쩌면,perhaps
보세요,look
생각이,thought
어느,any
그러지,That's right
되면,If it happens
아마도,maybe
준비,preparation
전화,phone call
뒤에,behind
도대체,earthly
너를,thee
당신도,You too
것처럼,As if
않으면,If not
말하는,talking
최고의,top
말하지,tell me
세,count
모르는,strange
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Are you sure
없다고,There is no
것입니다,will
있잖아요,"You know,"
되고,become
어쨌든,anyway
가진,with
이번,this time
뭐하는,What are you doing
후에,later
친구가,friend
지,ji
신경,nerves
그만해,stop
누구야,who is this
당신에게,to you
늘,always
없었어,There wasn't
그들을,them
있게,have
알잖아,You know
누군가,anyone
분명히,clearly
생각을,think
존,zone
일단,first
가야,Gaya
걱정,worry
보자,see
매일,everyday
수는,The number is
아침,morning
말할,say
말아요,Roll it up
모두가,everyone
않았어요,I didn't
얘기를,talk
봤어요,I saw it
대신,instead
마치,like
건데,It's going to be
자넨,you
했잖아,You did it
둘이,Two of us
당신과,with you
집으로,home
한다,do
두고,Leave it
이름을,name
있네,There is
그들의,their
뭔데,What is it
금방,right away
사는,living
좋아하는,favorite
찾을,find
맘에,I like it
결국,at last
이유가,the reason
필요해요,I need it
중에,During
그때,at that time
보는,seeing
너랑,With you
아이를,child
없잖아,There isn't any
한다고,I do it
기분,mood
하게,do it
놈이,This guy
못해,I can't
우리에게,to us
가면,mask
저를,me
잡아,catch
집에서,at home
우리도,We too
기분이,I feel like
저희,us
찾고,looking for
손을,hands
거다,It's going to happen
어제,yesterday
남자가,the man
뭐지,what
앞으로,from now on
잠깐만요,Wait a minute
자신의,own
애가,keen
이상한,weird
막,membrane
먹고,eat
아이,kid
언제나,always
여기가,Here
아들,son
알게,get to know
하세요,do
총,gun
스스로,self
방법이,There is a way
있던,there was
해봐,Try it
아님,Not
때가,It's time
아니죠,Nope
했던,did
조용히,quietly
밤에,at night
미친,crazy
텐데,It would be
머리,head
않습니다,does not
잘못,wrong
고맙습니다,Thank you
있어야,Must be
왜냐하면,because
앉아,sit
아침에,in the morning
죽일,kill
환자,patient
양,sheep
없죠,There is no
일어나,wake up
믿을,trustworthy
같네요,Looks like
건가,Is it dry?
게다가,furthermore
알렉스,alex
타고,ride
데,place
들었어,I heard
눈을,eyes
나에게,to me
없었어요,There wasn't
만나서,meet
진정해,calm down
이것,this
더이상,anymore
보지,pussy
방법을,way
원래,usually
솔직히,to be honest
좋지,Good
하려고,with a view to
빌어먹을,Damn it
총을,gun
길을,the road
누군지,who is
아니라고,no
자신을,yourself
여길,This way
있지만,Although there is
얼른,quickly
얘들아,Guys
대로,boulevard
만든,made
놈,bloke
조심해,be careful
일에,at work
따라,according to
술,alcohol
정확히,accurately
자기가,Baby
충분히,enough
힘을,strength
아저씨,mister
알겠지,Okay
있었는데,There was
사랑하는,loving
기다리고,waiting
될거야,It will be
살아,alive
평생,lifetime
아까,a moment ago
얘야,sonny
눈,eye
거기에,there
애,baby
분명,clearly
말하고,speaking
역시,also
저희가,We
찾아,find
걔가,He
이럴,Oh no
저기요,hey
너와,with you
될까요,Will it happen?
천천히,slowly
문제,problem
수술을,surgery
좋았어,It was good
어디에,where
문을,open the door
맞지,That's right
어딨어,Where are you?
조지,george
아녜요,No
저녁,dinner
됩니다,It will be done
마요,mayo
생각엔,I think
만들어,make it
적어도,at least
애들,kids
개,dog
잘했어,good job
그러나,however
주,main
괜찮은,decent
생각은,Thought
위에,above
가끔,sometimes
있었던,there was
간,liver
잠시,for a moment
알아서,Take care of it
곳에,where
집을,house
그렇지만,but
그레이,gray
그럼요,sure
삶을,life
마음에,in my heart
살고,live
들고,carrying
분,minute
그랬어,I did
차를,tea
옆에,next to
아이가,The child
이번엔,This time
저게,That's it
아빠는,Dad is
괜찮을,It'll be okay
하자,let's do it
알았는데,I thought
생각해요,I think
없는데,I don't have it
생각하는,thinking
아니잖아,It's not
마지막으로,finally
여자를,woman
죽었어,dead
멍청한,stolid
훌륭한,excellent
있었지,There was
정도,degree
베일리,bailey
준비가,ready
남은,remainder
있으니까,Because there is
싫어요,"no, I do not want"
입니다,no see
영원히,forever
엄청난,exorbitant
정신,spirit
는,Is
계세요,Are you there?
하는지,Do you do it?
좋을,good
있었죠,There was
간다,Going
기회를,opportunity
그대로,like that
하나도,Not even one
멈춰,stop
필요가,need
도와줘,help me
다음에,next time
앞에서,in front
뭐든,whatever
물,water
밖으로,out
오는,coming
그렇다면,then
미국,USA
말라고,Don't tell me
하지마,don't
서,west
말한,said
테니까,Because
앞에,in front
를,cast
처럼,like
저한테,To me
거고,That's it
받아,take it
그것도,That too
요즘,recently
믿어,believe it
뒤로,back
놈들이,They
입고,store
보니,Bonnie
속에,into
잠시만요,wait a minute
소리야,It's a sound
들어봐,Listen
자기야,babe
헤이,hey
에,to
이해가,I understand
옷,clothes
들어가,Go in
아버지는,my father
않을거야,won't
있소,There is
자네는,you
모르겠지만,"I don't know, but"
누구도,no one
입,mouth
어머니,mother
특별한,special
좋겠어,I hope so
준,June
그것은,that
관한,about
할게,I'll do it
여기는,here
언니,sister
환자가,the patient
갈게,I'll go
나야,it's me
제게,To me
하루,day
단,step
필,Phil
가세요,Go
끔찍한,terrible
걸로,Girl
사랑,love
일도,work
아름다운,beautiful
년,year
형,brother
뭐요,What
저런,Like that
별,star
아니다,no
받고,under
할거야,I will do it
쓸,write
씨발,fuck
돈이,money
그에게,to him
뭔가를,something
마음을,heart
문제는,The problem is
의,of
서둘러,hurry up
못할,can't
없네,There is none
끝났어,It's over
있을거야,There will be
머리를,head
생각하지,don't think
뭐라고요,What?
힘든,awkward
보게,see
가게,store
말해봐,say it
밥,rice
상황이,situation
줘요,Give it to me
만큼,by
했지만,I did it but
같은데요,I think so
이름,name
엄마를,Mom
전화를,call
어쩔,What to do
있니,Are you there?
번째,th
할까,Should I do it?
얘길,story
찾는,looking for
선생님이,teacher
진짜로,really
일이에요,It's work
건지,Guernsey
가족을,family
할지,Do you do it?
중이야,I'm in the middle of it
믿지,believe it
닥쳐,shut up
여기로,here
저건,That is
주고,give
멀리,far
어이,hey
거짓말,lie
약,approximately
잭,jack
사실은,in fact
받을,receive
그러고,And then
겁니까,Are you afraid?
먹을,eat
그치만,But
너에게,to you
들었어요,I heard
하기,do
오빠,brother
오고,Coming
있을까,Is it
어린,young
통해,through
아닌데,It's not
조금만,just a little
맞는,fit
차에,in the car
여자는,The woman
보러,to see
손에,in hand
모르지,I don't know
가까이,near
테니,Teni
되죠,It works
점점,getting more and more
잔,glass
이야기를,tell a story
물론이죠,Of course
학교,school
주는,giving
아가씨,miss
먹어,eat
것에,to
크게,big
이유는,The reason is
군,army
모두들,everyone
죽인,killed
셋,three
알죠,I know
기억,memory
경찰,police
제이,Jay
그래야,so that
목숨을,life
있을까요,Is it there?
아니지만,Although it is not
했다,did
딸,daughter
많아,There are a lot
떨어져,away
사람이야,It's a person
다시는,never again
거잖아,That's right
애들이,kids
애를,I'm struggling
을,second
말이다,That's right
없다는,There is no
만들,make
오면,When you come
할게요,I will do it
아기,baby
영화,movie
가족,family
찾았어,I found it
특히,especially
아들을,son
제발요,Please
꿈을,dream
세상을,the world
놈을,The guy
아니었어,It wasn't
마이크,mike
그리,picture
무엇을,what
만드는,fabricated
얼마,how much
보여요,I can see it
사진,picture
칼,knife
잠시만,for a moment
병원에,to the hospital
같습니다,It's the same
바보,fool
열어,open it
현재,today
해줘,Do it
주지,gist
했습니다,I did it
자주,often
있겠지,There must be
하는거야,Are you doing it?
샘,fountain
꺼져,go away
가만히,stay still
그랬지,It was like that
지금까지,until now
저거,That one
당연하지,of course
나서,After
그것,that
또한,also
보이지,I can't see it
노래,sing
위험한,dangerous
클레어,claire
쉽게,easy
오지,Ozzy
정말요,Really
계획이,plan
잡고,hold on
열심히,try hard
마라,Mara
경찰이,the police
말하면,If you say
방에,in the room
됐다,Done
마음이,heart
메러디스,meredith
운이,lucky
드디어,at las
정보를,information
말입니다,I mean
때는,When
얼굴을,face
만난,met
있거든,Because there is
달,moon
약간,a little
했다고,I did it
일찍,early
굉장히,greatly
못해요,I can't
진실을,the truth
줄게,I'll give it to you
아세요,Do you know
누굴,who
거라,That's it
가족이,family
새로,new
절대로,never
와요,Come
알지만,I know but
되어,become
내려,get down
같네,It's the same
그거야,That's it
크리스티나,Christina
사이에,between
자꾸,repeatedly
저리,Go away
사실을,fact
프랭크,frank
와우,wow
뛰어,jump
갔어,went
죽게,to die
네게,To you
심지어,even
글쎄요,well
사람의,human
오랫동안,for a long time
모습을,appearance
얘기가,The story
아이고,oh my
상관,concern
일하는,working
짐,load
길,road
사건,case
그렇다고,That's right
들어요,listen
상황을,the situation
옷을,clothes
일이죠,It's work
아니예요,No
죽어,asleep
뿐이에요,It's just that
필요는,need
여기요,Here
사랑해요,i love you
죽는,perishing
누군가가,someone
얘기해,Talk to me
모두를,everyone
커피,coffee
있는거야,Is it there?
있으니,Because
없지만,There is no
열,heat
다신,Never again
만날,meet
남자는,The man
저희는,We are
떠날,leave
맞죠,That's right
아들이,my son
놈은,The guy
하나가,There is one
의사,doctor
박사님,Doctor
나오는,coming out
딸이,daughter
거짓말을,lie
했고,I did it
얼굴,face
보내,send
받은,received
쓰고,write
곳이,The place is
된다고,It's okay
설마,no way
우리한테,to us
방법은,The method is
인생을,life
보이는,visible
정도로,to the extent
아니오,no
여러,several
자고,partridge
한다면,If you do
실례합니다,excuse me
기회가,there is a chance
했을,would have done
결혼,marriage
소리를,sound
알았다,I get it
해야지,I have to do it
완벽한,watertight
있었다,there was
곳을,place
겨우,barely
없으면,If there is no
아내가,my wife
있습니까,Are there any
만들고,create
비켜,Get out of the way
그것을,it
피를,blood
못한,couldn't
말씀,word
자식,child
만약에,if
위대한,big
써,write
이리와,Come here
눈이,snow
사람도,People too
요,yo. this
자신이,myself
당신한테,To you
보통,commonly
나갈,go out
문제를,problem
보다,see
앉아서,sit down
도와줘요,Help me
원하지,want
이쪽으로,this way
생각하고,thinking
갑시다,Let's go
사랑을,love
너네,You guys
조,article
밖에서,outside
들어와,Come in
그렇군요,okay
척,chuck
같군,Same
나온,came out
같지,Same
불러,call me
도움을,help
마음,mind
최선을,Do your best
된다,It becomes
곳으로,to the place
아기를,baby
죽이고,kill
대단한,big
뭐예요,What is it
환자를,the patient
똑같은,identical
가능한,possible
친구들,friends
원해,deep waters
좋아해,i like you
될까,Will it work?
봤지,I saw it
방,room
몰라도,I don't know but
갈게요,I'll go
때도,Even when
움직여,in action
눈에,in the eyes
숨을,breathe
음악,music
자는,sleeping
딸을,daughter
모르겠네요,I don't know
의사가,doctor
셜록,sherlock
딴,different
가져와,Bring it
세상에서,in the world
소리가,the sound
시간은,time is
도울,help
만한,worthy
남편이,My husband
한다는,to say
아버지를,father
일로,Because of work
감옥에,in jail
됐지,Okay
짓,act
순간,moment
도와줄,help me
있도록,so that
할머니,grandma
짓이야,It's a joke
쓰는,inscribed
했잖아요,You did it
너희들,you
피터,peter
당신들,you
그날,that day
화가,artist
새끼,young
쓴,written
안에서,inside
최대한,as much as possible
하네,Yes
팀,team
이후로,Since then
그들,them
이지,easy
그치,right
죽었어요,dead
곳에서,in a place
때마다,every time
몸이,body
모든게,Everything
캠,cam
어차피,anyway
압니다,I know
기억이,I remember
어딜,where
산,mountain
들려,I hear it
있네요,There is
분이,The person
없어서,Because I don’t have it
이곳에,here
미안하지만,I'm sorry
일어난,happened
왔습니다,came
로스,ross
속에서,in
친구를,friends
모르지만,I don't know but
예쁜,pretty
몸을,body
잊지,forget
엄마한테,To mom
왔다,come
했는지,Did you do it?
타,get on
같군요,It seems like
명,number of people
모든걸,Everything
하라고,Do it
그렇습니다,yes
때문이야,It's because
있겠어,There must be
덕분에,thanks
싶으면,If you want
나가서,go out
비밀,secret
달라,It's different
것보다,than
